,ship_key,call_sign,speed,year_built,length,width,tonnage,engine_type,mmsi,ship_name,ship_type
66,66,S51W,20,2015,204.0,35.0,67445.0,gasoline,751981784,RIDGEBURY PALLAS,Oil tanker
67,67,59S8,22,1999,339.0,46.0,163148.0,diesel,225209250,LARS MAERSK,Container ship
68,68,QIGY,23,2016,220.0,32.0,236006.0,diesel,243085851,SAFMARINE NOMAZWE,Container ship
69,69,16MX,20,2014,276.0,36.0,96869.0,gasoline,602522801,SAFMARINE NOKWANDA,Container ship
70,70,VPA0,25,2015,151.0,40.0,268203.0,lng,411000341,CHICAGO EXPRESS,Container ship
71,71,TPKT,20,2011,95.0,18.0,17590.0,diesel,231617138,ROLLS I,Chemical tanker
72,72,PMS4,20,2014,363.0,47.0,202535.0,diesel/electric,679771492,CHARANA NAREE,Bulk carrier
73,73,K35A,25,1998,312.0,42.0,173695.0,gasoline,673770328,MAERSK IOWA,Container ship
74,74,B5BG,22,2019,211.0,48.0,273970.0,diesel/electric,465246723,MAERSK OHIO,Container ship
75,75,WM60,21,2010,363.0,49.0,159730.0,electric,743211212,MAERSK DOUALA,Container ship
76,76,4QNN,20,2019,256.0,40.0,138545.0,diesel,591862288,CMA CGM OTELLO,Container ship
77,77,4HA6,26,2007,232.0,50.0,134382.0,electric,600357956,MAERSK DAKAR,Container ship
78,78,A6F2,25,1997,236.0,39.0,130345.0,diesel,355607863,GRETE MAERSK,Container ship
79,79,RR6Q,21,2019,345.0,35.0,384787.0,diesel/electric,384881425,GOOD HOPE MAX,Bulk carrier
80,80,3EFR,19,1996,361.0,37.0,254901.0,gasoline,538786936,OPTIMAX I,General cargo ship
81,81,1CBM,24,1997,320.0,37.0,187268.0,diesel,477228234,MAERSK UTAH,Container ship
82,82,WEFJ,23,2017,176.0,48.0,152683.0,diesel,717246417,MAERSK MONTANA,Container ship
83,83,3W93,22,2014,202.0,35.0,58201.0,gasoline,251043506,BALTIC GLORY,Oil tanker
84,84,QYYA,25,2018,364.0,39.0,250917.0,lng,588958766,AZUL LIBERO,Bulk carrier
85,85,RQH1,19,2008,163.0,36.0,270220.0,diesel/electric,612247329,NYK VESTA,Container ship
86,86,F87A,23,2004,206.0,31.0,102721.0,lng,483382835,NIGHTCRAWLER,Oil tanker
87,87,TAVG,24,2004,344.0,47.0,253752.0,lng,281723740,SEAGO ANTWERP,Container ship
88,88,17XJ,24,2004,212.0,40.0,249325.0,gasoline,215278926,SEAGO FELIXSTOWE,Container ship
89,89,MSY8,23,2000,174.0,41.0,270878.0,lng,235995848,SEAGO ISTANBUL,Container ship
90,90,5ZNE,25,1998,292.0,35.0,205957.0,gasoline,650852853,SEAGO PIRAEUS,Container ship
91,91,CSM2,19,2003,273.0,50.0,131799.0,gasoline,648709519,SEAGO BREMERHAVEN,Container ship
92,92,28DS,19,2002,243.0,35.0,120476.0,lng,316566475,SAFMARINE MAFADI,Container ship
93,93,0FO7,21,2004,201.0,30.0,119344.0,gasoline,567931515,SAN CARLOS,Oil tanker
94,94,C25R,25,2018,217.0,37.0,90732.0,diesel,241404015,SAN SEBASTIAN,Oil tanker
95,95,38V5,22,2012,218.0,33.0,108964.0,gasoline,227332007,SAN FELIX,Oil tanker
96,96,P66H,24,1998,188.0,47.0,276545.0,gasoline,366250431,MAERSK SELETAR,Container ship
97,97,KI8N,25,2002,311.0,43.0,198437.0,lng,396966339,MAERSK SENTOSA,Container ship
98,98,U3R7,20,2013,336.0,41.0,177385.0,lng,679764893,MAERSK SENANG,Container ship
99,99,ZJXI,21,2011,215.0,31.0,64179.0,diesel,553059265,AT HONOR,Oil tanker
100,100,6F82,22,1996,326.0,38.0,147913.0,diesel,520370851,OPTIMAX II,General cargo ship
101,101,3BQ3,23,2013,294.0,45.0,89292.0,gasoline,271980272,GERD MAERSK,Container ship
102,102,JTVK,18,2007,221.0,36.0,107366.0,diesel,585138143,BRO NIBE,Oil tanker
103,103,MHEZ,20,2014,233.0,37.0,230498.0,lng,420259821,HANSA LIMBURG,Container ship
104,104,U066,19,2005,304.0,48.0,202361.0,diesel,571967631,MAERSK CHICAGO,Container ship
105,105,K3FU,19,2017,218.0,49.0,93162.0,diesel,509281872,MAERSK COLUMBUS,Container ship
106,106,1KC7,25,2004,227.0,38.0,138600.0,lng,660815553,MAERSK DENVER,Container ship
107,107,CM1N,26,2007,185.0,38.0,134744.0,electric,662333275,MAERSK HARTFORD,Container ship
108,108,K1TD,23,2005,260.0,41.0,234208.0,diesel/electric,560801021,MAERSK KENSINGTON,Container ship
109,109,7827,18,2007,197.0,33.0,138947.0,gasoline,430390734,MAERSK KINLOSS,Container ship
110,110,RCZO,25,2008,185.0,33.0,231823.0,electric,562592177,MAERKS DETROIT,Container ship
111,111,NL1P,26,2010,320.0,35.0,89965.0,diesel,483961615,MAERSK PITTSBURGH,Container ship
112,112,AT3P,23,2017,200.0,33.0,206572.0,electric,264468841,MAERSK ANTARES,Container ship
113,113,EVBC,22,2000,285.0,49.0,204914.0,lng,262593364,BREMEN EXPRESS,Container ship
114,114,AS63,20,2011,222.0,37.0,128663.0,lng,350376181,BRO ANNA,Oil tanker
115,115,7K9I,21,2016,208.0,31.0,113606.0,gasoline,243621827,CHAMPION PLEASURE,Oil tanker
116,116,N5IF,21,2010,225.0,35.0,171765.0,diesel/electric,429056837,MONTE AZUL,Container ship
117,117,IRQ8,18,2012,160.0,35.0,196668.0,electric,447723391,MONTE ALEGRE,Container ship
118,118,LADU,21,1999,146.0,49.0,264076.0,diesel,714603835,MONTE ACONCAGUA,Container ship
119,119,XJ0K,25,2007,353.0,39.0,149787.0,diesel,741255754,MAERSK ATLANTA,Container ship
120,120,990F,25,2009,155.0,38.0,139405.0,lng,314300062,MAERSK BATAM,Container ship
121,121,7RK2,23,2010,311.0,32.0,166114.0,diesel,588551299,MAERSK BULAN,Container ship
122,122,ROXY,23,2005,151.0,37.0,96237.0,diesel,517519341,SAFMARINE NILE,Container ship
123,123,AANS,21,2015,200.0,50.0,253080.0,gasoline,627228837,SAFMARINE NAKURU,Container ship
124,124,BOBU,21,2004,233.0,41.0,182967.0,gasoline,577347290,SAFMARINE NUBA,Container ship
125,125,Q2WC,25,2002,209.0,42.0,204469.0,gasoline,695424521,MAERSK NEWPORT,Container ship
126,126,M3KA,26,2007,294.0,35.0,224973.0,gasoline,686132700,MAERSK NORFOLK,Container ship
127,127,VZJP,24,2017,298.0,37.0,147983.0,diesel/electric,799282516,MAERSK NAIROBI,Container ship
128,128,WZOU,25,2002,212.0,44.0,88000.0,gasoline,293864575,HANSA CLOPPENBURG,Container ship
129,129,9PJ3,18,2005,229.0,48.0,247350.0,electric,733805873,GUNHILDE MAERSK,Container ship
130,130,U3J4,19,2000,318.0,40.0,223116.0,lng,412715730,GERDA MAERSK,Container ship
131,131,QWCO,25,2017,337.0,42.0,131058.0,gasoline,479681045,MARIO C,General cargo ship
132,132,37P5,23,2014,229.0,31.0,108876.0,lng,452579734,ARDMORE SEALANCER,Oil tanker
133,133,CB16,24,2003,90.0,16.0,10655.0,diesel,385751282,ALPINE MATHILDE,Chemical tanker
134,134,I0XY,25,1997,193.0,32.0,62769.0,lng,477102360,RONALD N,Gas carrier
135,135,H4E2,20,2013,127.0,15.0,24037.0,electric,550317141,ADRIATIC WAVE,Chemical tanker
136,136,WKFK,23,2007,94.0,16.0,15039.0,lng,483546096,CAPE GUINEA,Chemical tanker
137,137,TKB5,18,2013,338.0,41.0,297063.0,diesel,216545740,MIEDWIE,Bulk carrier
138,138,EHJO,26,2013,325.0,38.0,337662.0,gasoline,698517208,DRAWSKO,Bulk carrier
139,139,5TJB,25,2010,342.0,41.0,342044.0,electric,383378064,RESKO,Bulk carrier
140,140,OO6M,22,2017,344.0,48.0,344509.0,lng,675463192,WICKO,Bulk carrier
141,141,NJJ4,18,2000,194.0,48.0,137903.0,lng,687731859,MAERSK BALI,Container ship
142,142,YS7Y,23,2008,298.0,42.0,229670.0,lng,656534637,MAERSK BOGOR,Container ship
143,143,R59T,21,2003,354.0,33.0,268007.0,diesel,255437924,MAERSK BRATAN,Container ship
144,144,YGPG,26,2006,208.0,30.0,111680.0,lng,497516138,EVIE PG,Oil tanker
145,145,YN6G,25,2013,235.0,49.0,217604.0,lng,499683028,CMA CGM LEO,Container ship
146,146,IYAB,22,2004,224.0,42.0,255092.0,diesel,228663201,ROBIN 4,Container ship
147,147,SE6H,21,2005,238.0,32.0,106566.0,diesel/electric,472781096,CAPE TAFT,Oil tanker
148,148,AP19,20,2007,169.0,35.0,229654.0,electric,703211966,MAERSK BATUR,Container ship
149,149,9KDR,24,2006,208.0,34.0,70740.0,diesel,280820161,ANAVATOS II,Oil tanker
150,150,B3RY,23,2018,230.0,35.0,96562.0,gasoline,535037144,FULMAR,Oil tanker
151,151,TALA,23,2016,334.0,38.0,399480.0,gasoline,636999859,LEON OETKER,Bulk carrier
152,152,PB73,20,2013,301.0,37.0,249520.0,diesel,207687075,ROLLDOCK SKY,Combination carrier
153,153,41LG,21,2011,210.0,37.0,124369.0,diesel,268835686,CAPE TAURA,Oil tanker
154,154,VQ3W,24,2018,212.0,39.0,224830.0,lng,391021087,MAERSK BRANI,Container ship
155,155,A8DM,24,2016,166.0,48.0,232542.0,diesel,697799878,CMA CGM AQUILA,Container ship
156,156,4RU7,18,1998,160.0,37.0,218846.0,diesel,257733645,CMA CGM CALLISTO,Container ship
157,157,VXU3,19,1997,267.0,32.0,164612.0,gasoline,266584886,CMA CGM LYRA,Container ship
158,158,DTOB,20,2012,362.0,45.0,260962.0,diesel/electric,757012243,TRUDY,Bulk carrier
159,159,EQTF,25,2007,225.0,32.0,58225.0,electric,602601085,GEORGINA PG,Oil tanker
160,160,Z7PE,19,2004,225.0,34.0,71311.0,gasoline,395909475,ALATAU,Oil tanker
161,161,ALZ0,20,2019,354.0,48.0,124657.0,gasoline,279934861,NYK RUMINA,Container ship
162,162,S93E,20,2006,352.0,32.0,250569.0,diesel,675528317,GENCO MAXIMUS,Bulk carrier
163,163,5Q1M,23,2007,328.0,49.0,245310.0,diesel,204022484,JUNO,Bulk carrier
164,164,K6OF,18,2006,107.0,20.0,5140.0,gasoline,559056757,NORDIC AGNETHA,Chemical tanker
165,165,NYSC,19,2016,91.0,15.0,10732.0,diesel/electric,349528902,NORDIC AMY,Chemical tanker
166,166,2CPU,20,2013,297.0,44.0,118746.0,diesel/electric,583918892,SANTA ROSA,Container ship
167,167,PKNS,22,1999,356.0,44.0,144090.0,diesel,295772337,SANTA URSULA,Container ship
168,168,ZKOA,21,2011,165.0,50.0,109653.0,lng,420760279,SANTA BARBARA,Container ship
169,169,GA1S,20,1996,300.0,36.0,131937.0,lng,642503485,ORUBA,General cargo ship
170,170,EW98,20,2009,343.0,35.0,368554.0,diesel,351019840,AMSTEL LION,Bulk carrier
171,171,9CDS,21,2012,344.0,49.0,272169.0,diesel/electric,228944592,AMSTEL TIGER,Bulk carrier
172,172,5JD8,23,2017,205.0,33.0,127413.0,diesel,533321649,ARROW STAR 1,Oil tanker
173,173,HWYW,19,1997,238.0,37.0,83689.0,lng,606374549,CARTAGENA TRADER,Container ship
174,174,K9FC,18,2016,97.0,15.0,19148.0,lng,687028694,GURONI,Chemical tanker
175,175,G4J3,20,2010,337.0,41.0,149657.0,gasoline,298783270,PORTHOS,General cargo ship
176,176,Q9A7,21,2009,234.0,32.0,117625.0,diesel,794727155,CAPE TEES,Oil tanker
177,177,CEXY,26,2017,111.0,20.0,5840.0,gasoline,798145301,MINDORO STAR,Chemical tanker
178,178,7XRG,26,2007,326.0,38.0,268736.0,electric,245413232,LUBIE,Bulk carrier
179,179,FRI5,21,2006,299.0,40.0,177877.0,diesel,794639169,SIYA,General cargo ship
180,180,M7MA,22,2002,284.0,41.0,22678.0,gasoline,639202627,AAMIRA,LNG carrier
181,181,JVH6,19,2019,241.0,44.0,103686.0,electric,339591272,SANTA CLARA,Container ship
182,182,YCSB,19,2000,222.0,48.0,160175.0,gasoline,461108645,SANTA ISABEL,Container ship
183,183,SR26,23,2002,298.0,48.0,121079.0,lng,747618349,SANTA CRUZ,Container ship
184,184,EC1T,26,2008,357.0,47.0,351617.0,lng,266741276,FPMC B LUCK,Bulk carrier
185,185,0P88,23,2010,168.0,37.0,231033.0,gasoline,314862486,CAPE MOSS,Container ship
186,186,Q3JM,22,2008,218.0,34.0,86667.0,lng,700235949,ALTAI,Oil tanker
187,187,TSZW,26,2004,345.0,39.0,391423.0,gasoline,519493095,BIRTE OLDENDORFF,Bulk carrier
188,188,4JQZ,19,2003,308.0,34.0,132941.0,lng,728621895,CMA CGM CENDRILLON,Container ship
189,189,MS23,26,2007,273.0,43.0,249862.0,gasoline,273305901,VIENNA EXPRESS,Container ship
190,190,FWU2,18,2007,170.0,40.0,183281.0,lng,610382386,CMA CGM FIGARO,Container ship
191,191,HYPE,24,2017,248.0,42.0,257830.0,gasoline,745140989,CMA CGM DALILA,Container ship
192,192,VYD7,19,2007,184.0,44.0,265543.0,diesel/electric,577598648,CMA CGM TITUS,Container ship
193,193,39GE,25,2015,94.0,18.0,10479.0,diesel,560957604,ALI KA,Chemical tanker
194,194,5H61,20,2014,304.0,39.0,159581.0,gasoline,315568151,SIFTERI,General cargo ship
195,195,OI93,22,2004,353.0,34.0,317488.0,gasoline,748764655,GIEWONT,Bulk carrier
196,196,JKNQ,25,2009,334.0,33.0,290968.0,gasoline,455710441,JAWOR,Bulk carrier
197,197,GUOF,20,2015,350.0,47.0,342738.0,electric,311681866,ORNAK,Bulk carrier
198,198,RYQR,26,2014,356.0,37.0,276064.0,electric,250508845,RYSY,Bulk carrier
199,199,CHZ2,21,2014,191.0,47.0,212143.0,electric,375936917,CMA CGM CHRISTOPHE COLOMB,Container ship
200,200,KD3R,18,2015,231.0,31.0,105935.0,diesel,501082637,MARCILIO DIAS,Oil tanker
201,201,KSWA,26,2011,236.0,34.0,67273.0,electric,435517247,JOSE DO PATROCINIO,Oil tanker
202,202,44NQ,24,2013,240.0,37.0,121904.0,diesel/electric,362305370,MACHADO DE ASSIS,Oil tanker
203,203,2CVW,23,2019,203.0,35.0,80870.0,electric,271017109,MILTON SANTOS,Oil tanker
204,204,XHID,23,2010,337.0,42.0,159572.0,diesel,603389790,CMA CGM AMERIGO VESPUCCI,Container ship
205,205,8NVI,23,2016,350.0,35.0,224594.0,diesel/electric,385664181,JY PROGRESS,Bulk carrier
206,206,NQ76,19,2003,215.0,40.0,151534.0,gasoline,788060728,MAERSK EDINBURGH,Container ship
207,207,L35F,21,2012,165.0,39.0,142718.0,lng,237345760,MAERSK EMDEN,Container ship
208,208,S8O0,19,2005,254.0,35.0,243684.0,gasoline,473087734,MAERSK EINDHOVEN,Container ship
209,209,P69L,24,2010,279.0,36.0,271641.0,electric,440123405,MAERSK ESSEN,Container ship
210,210,R7V3,19,2017,348.0,32.0,366535.0,diesel,349950792,BAO GLORY,Bulk carrier
211,211,1F60,25,1998,251.0,48.0,167074.0,gasoline,687670844,MAERSK EDMONTON,Container ship
212,212,QCT9,25,2012,184.0,44.0,264843.0,lng,421150256,MAERSK ELBA,Container ship
213,213,7XJI,22,1997,230.0,32.0,99001.0,diesel,519024051,MAERSK ESSEX,Container ship
214,214,BT53,18,2011,97.0,16.0,8714.0,diesel/electric,368839565,PETROLINA OCEAN,Chemical tanker
215,215,JYY4,22,2005,234.0,45.0,159765.0,diesel/electric,648439252,HAMBURG EXPRESS,Container ship
216,216,NCE3,20,2006,262.0,41.0,159498.0,lng,774317011,CYPRESS,Container ship
217,217,ST7I,23,2016,92.0,18.0,31166.0,gasoline,642101792,HAFNIA PHOENIX,Chemical tanker
218,218,6VR2,18,2010,108.0,19.0,33897.0,diesel,667075195,MED EMRE,Chemical tanker
219,219,L0W6,18,2014,123.0,18.0,6539.0,diesel,700879505,MED SERHAT,Chemical tanker
220,220,HI91,23,2014,189.0,39.0,263880.0,lng,287123700,APL SALALAH,Container ship
221,221,7SOL,26,2007,352.0,40.0,320504.0,lng,637523929,CHINTANA NAREE,Bulk carrier
222,222,W88J,25,2013,357.0,40.0,315426.0,gasoline,797868391,BBC ILLINOIS,Bulk carrier
223,223,Q182,20,2005,362.0,48.0,300626.0,lng,537366126,GOLDEN OPAL,Bulk carrier
224,224,E7B7,22,2008,356.0,32.0,281166.0,diesel,318915208,POLA DEVORA,Bulk carrier
225,225,79KZ,19,2016,361.0,47.0,375058.0,gasoline,543443049,POLA ELISAVETA,Bulk carrier
226,226,B6CZ,18,2016,309.0,43.0,266117.0,electric,706152237,FLAMURI,General cargo ship
227,227,5L60,19,2008,327.0,46.0,229697.0,lng,720076294,BULKTEC,Bulk carrier
228,228,Q0P9,26,2018,346.0,49.0,253354.0,diesel,502526282,FLAG ZANNIS,Bulk carrier
229,229,UV5G,19,2017,365.0,34.0,379848.0,lng,654743325,EIBHLIN,Bulk carrier
230,230,8YLT,18,2014,355.0,44.0,306513.0,gasoline,210480719,PRIDE,Bulk carrier
231,231,J9RN,21,2013,330.0,43.0,390952.0,electric,664938843,FADELSIA,Bulk carrier
232,232,UOIS,24,2016,337.0,37.0,307312.0,diesel/electric,457267272,BRIGHT STAR,Bulk carrier
233,233,NMZJ,22,2016,91.0,18.0,31115.0,lng,264689485,BIRGIT KNUTSEN,Chemical tanker
234,234,7MIM,18,2008,349.0,44.0,211164.0,lng,473000340,CAP JACKSON,Container ship
235,235,Z7ND,26,2002,287.0,46.0,238142.0,gasoline,228148154,CAP JERVIS,Container ship
236,236,2BG3,19,2009,336.0,42.0,204566.0,gasoline,455275011,INTERLINK ACUITY,Bulk carrier
237,237,88I4,18,2008,327.0,35.0,362276.0,lng,587065951,ADIRONDACK,Bulk carrier
238,238,07NV,23,2019,364.0,38.0,331058.0,diesel/electric,636806266,RANGER,Bulk carrier
239,239,3ENR,20,2006,364.0,44.0,297312.0,lng,239420036,VELSHEDA,Bulk carrier
240,240,G6KP,18,2008,338.0,40.0,264215.0,gasoline,312034527,SOLINA,Bulk carrier
241,241,EBUE,21,2006,364.0,47.0,388324.0,electric,506949362,MAMRY,Bulk carrier
242,242,AM9Z,18,2015,340.0,43.0,268640.0,diesel,216457417,AAL BRISBANE,General cargo ship
243,243,LZZ8,20,1996,326.0,40.0,250029.0,diesel,727243081,AAL KEMBLA,General cargo ship
244,244,F1G6,18,2012,352.0,32.0,123340.0,gasoline,667688159,AAL SINGAPORE,General cargo ship
245,245,JAO7,26,2004,352.0,41.0,131446.0,diesel,734578244,AAL SHANGHAI,General cargo ship
246,246,H4E4,20,2003,353.0,47.0,119475.0,lng,507385486,AAL MELBOURNE,General cargo ship
247,247,M374,18,2016,330.0,49.0,238111.0,diesel/electric,490483717,AAL DALIAN,General cargo ship
248,248,T38A,22,2009,351.0,40.0,125829.0,lng,399429903,NEW YORK EXPRESS,Container ship
249,249,WMWB,24,2009,247.0,45.0,87648.0,gasoline,431263055,BASLE EXPRESS,Container ship
250,250,SAUN,19,2009,186.0,41.0,249537.0,electric,388186770,HONG KONG EXPRESS,Container ship
251,251,WI8Y,25,2001,282.0,32.0,135437.0,lng,624392086,SHANGHAI EXPRESS,Container ship
252,252,7LLI,19,2008,261.0,47.0,83845.0,diesel,441456562,ESSEN EXPRESS,Container ship
253,253,MPAW,26,2004,364.0,45.0,209042.0,gasoline,344251402,SAGA FLORA,General cargo ship
254,254,82EF,21,2015,127.0,16.0,12416.0,diesel,567814606,ELANDRA OAK,Chemical tanker
255,255,K712,24,2015,321.0,39.0,375761.0,lng,630694203,NAREW,Bulk carrier
256,256,YTNF,20,2009,346.0,32.0,339123.0,electric,395921481,RABA,Bulk carrier
257,257,YRMX,24,2019,342.0,35.0,263087.0,lng,583695947,PROSNA,Bulk carrier
258,258,EF3B,21,2012,357.0,36.0,270584.0,diesel,433071967,SKAWA,Bulk carrier
259,259,IFOT,25,2015,364.0,45.0,350875.0,diesel/electric,668941021,INA,Bulk carrier
260,260,T764,25,2005,352.0,38.0,296435.0,diesel,379655121,ILENAO,Bulk carrier
261,261,LN0F,24,2010,174.0,44.0,166878.0,diesel/electric,545030641,MAERSK CALABAR,Container ship
262,262,GN3V,19,2009,198.0,43.0,214755.0,diesel/electric,203869316,MAERSK CAPE COAST,Container ship
263,263,WWPK,21,2017,361.0,35.0,118435.0,lng,308459109,MAERSK CHENNAI,Container ship
264,264,DBW3,25,2009,301.0,41.0,140895.0,lng,323229637,MAERSK CONGO,Container ship
265,265,1MUD,25,1999,264.0,47.0,132612.0,lng,335342837,MAERSK CAPE TOWN,Container ship
266,266,HNP5,25,2010,230.0,32.0,265559.0,lng,763523353,MAERSK COLOMBO,Container ship
267,267,SDJ5,26,2008,271.0,48.0,138276.0,diesel,749162579,MAERSK CABO VERDE,Container ship
268,268,9QV0,24,2002,316.0,34.0,133127.0,lng,521741651,MAERSK CASABLANCA,Container ship
269,269,K35K,24,2005,211.0,33.0,275156.0,gasoline,227555593,MAERSK LUZ,Container ship
