imo,fuel_consumption,sea_time,co2_distance,co2_transport,EEDI,verifier_key,ship_key,issue_date_key,expiry_date_key
9299628,12592.5,3984.68,697.22,9.08,13.3,12,76,20210422,20220630
9302449,3918.75,3147.49,322.72,20.96,19.62,12,77,20210414,20220630
9302889,3168.84,560.83,959.5,8.68,11.31,12,78,20210423,20220630
9305300,12744.13,4607.83,576.79,16.32,19.02,12,81,20210413,20220630
9305312,15055.4,4739.37,682.11,19.19,19.1,12,82,20210415,20220630
9307645,4520.1,1741.0,792.23,2.88,1.59,12,83,20210429,20220630
9312250,3537.4,2068.4,501.73,2.66,2.48,12,84,20210323,20220630
9312808,12382.0,2621.6,832.31,10.86,16.06,12,85,20210520,20220630
9313101,2194.86,2258.96,279.76,44.8,9.77,12,86,20210429,20220630
9313905,16373.06,5455.52,622.68,19.9,26.67,12,87,20210421,20220630
9313917,17131.08,5521.58,639.79,20.49,26.67,12,88,20210421,20220630
9313943,15361.26,5605.92,587.71,18.39,26.67,12,89,20210421,20220630
9313955,15266.87,5657.89,565.36,18.03,26.67,12,90,20210421,20220630
9313967,15120.06,5649.45,553.95,17.2,26.67,12,91,20210421,20220630
9314210,16900.53,4817.76,618.53,18.18,19.02,12,92,20210329,20220630
9315197,13057.35,3661.1,699.31,11.84,16.7,12,96,20210415,20220630
9315202,9830.68,2617.46,707.43,11.08,16.7,12,97,20210416,20220630
9315240,6083.0,2166.44,691.41,13.48,16.7,12,98,20210416,20220630
9320245,3747.74,734.6,981.25,9.1,11.3,12,101,20210422,20220630
9322700,2592.49,3232.87,229.48,31.81,12.59,12,102,20210420,20220630
9332975,11573.38,3469.33,656.36,11.08,15.56,12,104,20210414,20220630
9332987,10557.9,3214.01,637.14,10.76,15.56,12,105,20210414,20220630
9332999,11833.33,3399.55,655.54,10.54,15.56,12,106,20210416,20220630
9333008,12738.43,3790.75,658.94,11.71,15.56,12,107,20210416,20220630
9333010,10620.11,3504.62,595.77,9.9,15.56,12,108,20210504,20220630
9333022,8359.68,2800.62,608.09,10.01,15.56,12,109,20210420,20220630
9333034,10917.85,3733.23,606.21,10.92,15.56,12,110,20210504,20220630
9342176,10893.05,3782.56,584.56,10.76,15.56,12,111,20210604,20220630
9342504,4210.43,1055.09,824.12,10.3,12.94,12,112,20210428,20220630
9344435,3099.57,3295.8,295.17,41.33,12.54,12,114,20210420,20220630
9345623,902.7,569.7,522.34,7.46,3.75,12,115,20210616,20220630
9348053,12548.06,4906.36,570.0,14.77,17.63,12,116,20210427,20220630
9348065,12403.35,5309.3,546.19,14.65,17.63,12,117,20210427,20220630
9348077,1847.54,541.83,723.99,25.13,17.27,12,118,20210427,20220630
9348649,11371.08,3714.43,620.15,11.03,15.56,12,119,20210414,20220630
9355331,10890.16,4011.21,516.82,21.59,19.27,12,120,20210414,20220630
9355343,10173.79,4308.4,481.73,19.95,19.27,12,121,20210414,20220630
9356098,3312.47,2743.83,332.0,20.38,18.38,12,122,20210704,20220630
9356103,1600.48,2394.86,342.51,24.04,18.38,12,123,20210404,20220630
9356115,1958.04,3321.2,312.5,23.46,18.38,12,124,20210416,20220630
9356127,5471.2,4904.8,315.65,17.53,18.38,12,125,20210604,20220630
9356139,4140.08,4010.04,278.73,21.0,18.38,12,126,20210604,20220630
9356165,4130.16,3089.17,368.96,28.13,18.38,12,127,20210604,20220630
9359026,3930.05,1151.6,701.54,7.82,11.08,12,129,20210423,20220630
9359052,4388.02,1142.92,787.16,8.3,11.07,12,130,20210423,20220630
9367695,1765.1,2194.9,244.59,11.56,5.69,12,132,20210605,20220630
9380506,1412.2,1300.5,288.35,8.15,5.83,12,133,20210325,20220630
9386304,1013.5,505.7,432.4,62.55,6.11,12,134,20210514,20220630
9387918,542.0,596.8,288.92,10.3,5.3,12,135,20210405,20220630
9391402,2780.66,2529.97,293.59,14.61,3.76,12,136,20210805,20220630
9394870,10793.49,4260.07,483.98,19.8,19.28,12,141,20210414,20220630
9394882,1535.36,709.48,483.57,16.96,19.1,12,142,20210414,20220630
9394894,10442.42,4321.35,461.21,19.24,19.1,12,143,20211204,20220630
9399208,8156.8,1663.13,1022.73,9.03,14.5,12,145,20210422,20220630
9401221,1767.22,1284.0,337.24,8.99,4.87,12,147,20210430,20220630
9402029,10635.95,4357.81,472.53,19.77,19.16,12,148,20210414,20220630
9402469,7897.6,3959.4,515.8,9.94,3.73,12,149,20210514,20220630
9402471,3230.9,1784.2,532.03,6.77,3.73,12,150,20211105,20220630
9403073,871.61,833.76,296.33,6.56,4.32,12,151,20210422,20220630
9407251,2640.0,1525.7,456.8,15.86,4.54,12,153,20210430,20220630
9409352,10207.05,4212.28,461.28,19.4,19.1,12,154,20210414,20220630
9410741,5995.6,1631.85,734.62,6.76,14.5,12,155,20210528,20220630
9410753,4257.0,838.68,968.07,8.09,14.5,12,156,20210528,20220630
9410806,9422.0,1920.5,947.91,8.39,14.5,12,157,20210528,20220630
9415246,2182.87,2653.0,232.61,11.13,4.43,12,158,20210805,20220630
9416551,4771.0,2119.0,564.22,14.38,3.23,12,160,20210427,20220630
9416991,5933.38,2596.3,494.3,16.81,20.99,12,161,20210206,20220630
9422081,2555.3,1143.2,578.38,3.67,2.8,12,162,20210428,20220630
9422639,3256.01,2727.33,320.77,19.37,6.7,12,164,20210527,20220630
9422641,4201.41,3988.6,277.39,13.3,6.71,12,165,20210427,20220630
9430363,20661.89,5175.62,801.89,17.2,12.5,12,166,20210421,20220630
9430387,18518.06,4800.2,699.01,16.26,12.5,12,167,20210421,20220630
9430399,20509.56,5062.01,766.12,17.12,12.5,12,168,20210421,20220630
9434498,940.1,1101.8,223.83,7.51,3.66,12,170,20210903,20220630
9434515,1601.4,1950.5,221.87,5.05,3.67,12,171,20211104,20220630
9436422,5968.22,2737.69,526.51,22.67,21.06,12,173,20210531,20220630
9441180,3356.05,2405.5,361.85,10.01,3.39,12,176,20210427,20220630
9441207,1538.2,1342.02,319.25,8.65,4.63,12,177,20210605,20220630
9444716,21105.9,4494.15,893.84,20.15,13.35,12,181,20210421,20220630
9444728,16884.82,4072.6,925.9,21.92,13.35,12,182,20210804,20220630
9444742,697.96,410.23,606.48,16.62,13.31,12,183,20210417,20220630
9445227,1899.72,1195.0,483.3,3.48,3.11,12,184,20210518,20220630
9445916,220.61,148.0,439.41,22.33,19.53,12,185,20210522,20220630
9446427,4237.24,2020.8,537.13,12.11,3.24,12,186,20210623,20220630
9448047,1494.3,813.6,496.27,5.05,3.7,12,187,20210505,20220630
9449819,1848.9,480.93,729.09,11.22,16.9,12,188,20210422,20220630
9450600,6954.6,2307.53,642.34,7.4,16.9,12,190,20210528,20220630
9450624,10558.9,3427.57,702.69,8.78,16.9,12,191,20210206,20220630
9450636,4933.6,1282.08,771.95,11.43,16.9,12,192,20210306,20220630
9453559,5252.7,1252.38,872.7,4.15,9.85,12,199,20210806,20220630
9453858,1736.77,706.45,638.45,9.53,3.08,12,200,20211006,20220630
9453860,1818.0,670.6,711.81,9.66,3.16,12,201,20210518,20220630
9453872,2884.39,1104.24,697.61,10.71,3.18,12,202,20210518,20220630
9453884,5632.2,2384.6,595.27,8.96,3.16,12,203,20210518,20220630
9454395,8305.3,1776.75,883.66,5.89,13.5,12,204,20210528,20220630
9456757,2324.83,584.2,814.38,5.92,11.83,12,206,20210427,20220630
9456769,8025.57,1703.31,944.53,7.7,11.83,12,207,20210427,20220630
9456771,5576.04,924.2,1060.24,8.19,11.83,12,208,20210604,20220630
9456783,8033.44,1635.42,939.23,7.25,11.82,12,209,20210416,20220630
9458030,10108.98,2222.31,875.17,7.25,11.82,12,211,20210423,20220630
9458078,7341.12,1546.95,979.91,8.28,11.82,12,212,20210427,20220630
9458092,6393.07,1411.39,888.27,6.8,11.83,12,213,20210604,20220630
9460617,1257.73,1218.6,262.0,78.56,17.12,12,214,20210605,20220630
9461477,6822.8,942.5,1287.54,22.31,16.74,12,216,20210605,20220630
9462029,2154.6,1202.9,547.25,5.44,11.06,12,220,20210516,20220630
9481960,2263.38,2433.0,259.63,10.19,6.42,12,232,20210622,20220630
9484560,6411.95,3113.28,503.04,19.73,17.26,12,234,20210428,20220630
9484572,4478.42,2322.63,468.95,17.16,17.26,12,235,20211204,20220630
9493999,108.74,67.2,539.39,10.54,3.36,12,238,20210422,20220630
9494008,1173.21,1306.16,255.42,6.78,3.36,12,239,20210422,20220630
9498341,1190.75,1008.0,290.59,,9.96,12,242,20210427,20220630
9498353,2960.5,2294.7,329.27,,9.96,12,243,20210520,20220630
9498365,1808.59,1540.0,312.61,,9.96,12,244,20210427,20220630
9498377,1430.0,1098.32,310.19,,9.96,12,245,20210427,20220630
9498456,2578.46,2092.5,295.47,,9.9,12,246,20210429,20220630
9498470,2817.53,2436.79,289.33,,9.95,12,247,20210520,20220630
9502348,648.1,597.7,294.9,,5.07,12,253,20210331,20220630
9524683,974.86,938.2,352.16,11.66,4.89,12,260,20210423,20220630
9525302,3442.9,1796.72,517.23,16.77,10.21,12,261,20210422,20220630
9525314,2097.33,1044.14,481.42,13.81,10.36,12,262,20210413,20220630
9525338,2985.71,1367.79,495.74,19.02,10.36,12,263,20210414,20220630
9525340,3912.28,1605.8,590.34,14.19,10.38,12,264,20210413,20220630
9525352,908.47,591.2,384.62,27.08,10.18,12,265,20210422,20220630
9525390,2057.96,1264.52,435.28,13.06,10.36,12,266,20210414,20220630
9525455,2273.28,2403.8,515.9,15.65,10.36,12,267,20210428,20220630
9525467,1154.51,461.4,525.3,25.85,10.18,12,268,20210424,20220630
9526904,17888.77,5034.64,786.76,21.06,10.02,12,269,20210419,20220630
9526954,1427.39,693.43,708.55,25.67,10.56,12,270,20210604,20220630
9526978,1217.38,650.57,880.41,22.6,10.56,12,271,20210604,20220630
9527025,1273.62,606.0,583.63,16.09,10.56,12,272,20210604,20220630
9527051,3067.86,1180.68,681.88,23.75,10.56,12,273,20210604,20220630
9527063,4325.23,1347.03,632.35,11.35,10.56,12,274,20210604,20220630
9528196,7915.2,4362.6,550.93,3.16,2.4,12,276,20210504,20220630
9540833,1425.95,1307.9,269.63,14.45,5.38,12,277,20211205,20220630
9561485,4998.87,2221.21,544.91,17.44,10.36,12,280,20210413,20220630
9577111,1233.73,846.0,384.5,14.32,4.28,12,281,20210706,20220630
9578787,1110.63,962.2,287.0,69.47,16.1,12,284,20210423,20220630
9581667,499.76,566.6,285.93,10.72,3.11,12,294,20210519,20220630
9588146,3916.14,1703.5,652.66,6.44,3.13,12,300,20211205,20220630
9588469,7608.53,3818.28,527.92,5.88,3.15,12,301,20210427,20220630
9590319,1281.29,518.5,607.86,4.97,3.29,12,302,20211205,20220630
9590711,803.9,864.0,248.97,7.21,4.88,12,303,20210906,20220630
9590723,307.1,271.8,290.95,7.75,4.93,12,304,20210906,20220630
9591674,604.7,566.1,302.69,6.16,3.81,12,305,20211003,20220630
9596973,6293.2,3543.8,577.9,5.57,3.41,12,320,20210504,20220630
9597484,12805.8,4150.35,697.9,10.38,11.69,12,321,20210528,20220630
9597501,16903.2,4380.22,794.03,11.65,11.72,12,322,20210528,20220630
9600944,1922.5,1653.6,401.63,4.97,3.13,12,324,20210524,20220630
9601302,716.8,324.87,534.3,4.58,10.94,12,325,20210306,20220630
9601314,1012.8,442.62,570.15,6.24,10.85,12,326,20210516,20220630
9605633,1159.43,1116.7,309.84,4.71,3.39,12,330,20210422,20220630
9605645,1003.59,1056.4,281.2,4.7,3.41,12,331,20210422,20220630
9610781,2974.12,1344.79,567.98,6.86,3.55,12,336,20210706,20220630
9610810,2577.69,1429.25,552.04,13.15,3.49,12,337,20210706,20220630
9613836,1169.3,1025.7,311.18,,5.11,12,341,20210426,20220630
9613848,667.2,549.3,322.3,,5.13,12,342,20210426,20220630
9613850,1223.3,1268.2,268.3,,5.13,12,343,20210331,20220630
9613862,986.0,850.5,313.83,,5.01,12,344,20210430,20220630
9613874,3529.2,3467.9,268.87,,5.13,12,345,20210104,20220630
9619907,16599.93,3195.01,1014.61,5.77,7.39,12,351,20210420,20220630
9619919,15912.48,2967.87,1010.35,6.24,7.39,12,352,20210420,20220630
9619921,19069.83,3424.99,1036.39,6.8,7.39,12,353,20210420,20220630
9619933,24836.37,4747.52,993.71,6.02,7.39,12,354,20210420,20220630
9619945,22656.61,5116.85,1066.17,6.58,7.39,12,355,20210419,20220630
9619957,14853.55,2759.52,1032.48,6.33,7.37,12,356,20210604,20220630
9619969,7676.9,1908.79,879.61,6.3,7.39,12,357,20210420,20220630
9619971,16309.81,3068.47,983.34,6.14,7.39,12,358,20210421,20220630
9619983,4928.8,1304.62,939.17,7.27,7.39,12,359,20210421,20220630
9619995,25457.91,4634.09,1017.16,6.13,7.39,12,360,20210421,20220630
9621596,394.75,330.12,303.51,7.99,4.34,12,361,20210325,20220630
9622203,16047.41,4277.55,711.48,9.81,9.79,12,362,20210428,20220630
9622215,18217.49,4824.75,724.45,9.94,9.79,12,363,20210423,20220630
9622227,13858.7,3668.49,696.37,10.25,9.79,12,364,20210423,20220630
9622239,17725.19,4361.4,770.28,10.14,9.79,12,365,20210423,20220630
9622241,18274.74,4685.74,709.27,9.21,9.79,12,366,20210422,20220630
9622253,15757.44,4109.63,757.38,10.01,9.79,12,367,20210423,20220630
9631682,1478.0,686.5,434.85,18.54,5.04,12,378,20210505,20220630
9632026,17697.9,4006.85,921.25,5.6,10.4,12,379,20210528,20220630
9632040,2073.0,454.52,809.6,6.71,10.5,12,380,20210528,20220630
9632064,15231.99,3089.82,972.86,5.78,7.42,12,381,20210421,20220630
9632090,22865.11,4248.64,1006.42,6.4,7.42,12,382,20210421,20220630
9632105,8633.29,1918.46,939.64,6.81,7.42,12,383,20210204,20220630
9632117,16278.38,3357.76,976.39,5.87,7.42,12,384,20210404,20220630
9632129,15981.11,2947.31,1015.66,5.89,7.42,12,385,20210420,20220630
9632131,15302.6,3292.73,952.25,5.39,7.42,12,386,20210420,20220630
9632143,9069.96,2068.84,904.38,5.23,7.42,12,387,20210421,20220630
9632155,9916.96,2199.86,899.34,5.94,7.42,12,388,20210421,20220630
9632167,15484.1,2880.82,1009.17,5.82,7.42,12,389,20210604,20220630
9632179,19984.45,4205.49,1030.1,6.35,7.42,12,390,20210204,20220630
9632208,14042.3,3978.3,751.37,11.13,11.72,12,391,20210528,20220630
9632210,13591.6,4626.98,811.24,12.27,11.79,12,392,20210528,20220630
9632480,4263.02,1810.04,536.82,22.37,11.49,12,393,20210428,20220630
9637076,505.55,573.9,272.18,11.04,4.88,12,398,20210405,20220630
9644524,1036.2,1090.7,255.45,,4.98,12,399,20210104,20220630
9646663,2760.17,2082.85,359.92,11.32,3.9,12,408,20210604,20220630
9646675,2063.52,1863.17,322.05,6.83,3.87,12,409,20210604,20220630
9649861,611.52,887.9,205.57,6.12,5.05,12,422,20210324,20220630
9649885,1131.07,1793.81,196.36,6.49,5.05,12,423,20210331,20220630
9654555,2950.25,2491.3,347.0,16.33,4.67,12,426,20210514,20220630
9654579,782.3,593.9,351.38,9.21,4.64,12,427,20210405,20220630
9654775,747.1,722.5,295.19,15.27,4.55,12,428,20211205,20220630
9654787,1090.28,1155.2,289.66,15.19,4.68,12,429,20211105,20220630
9655509,4258.1,3183.96,316.72,49.97,10.7,12,432,20210806,20220630
9655511,3023.65,2516.92,279.39,52.94,10.74,12,433,20210806,20220630
9658903,684.9,708.6,257.46,6.56,4.07,12,444,20210428,20220630
9658953,1273.2,1230.1,254.87,,4.94,12,445,20210426,20220630
9660358,2008.4,1229.5,427.6,15.5,4.23,12,452,20210415,20220630
9662320,246.9,272.0,219.76,9.27,6.08,12,455,20211104,20220630
9662332,1990.0,2475.65,217.88,8.25,6.13,12,456,20211104,20220630
9664770,3424.3,2464.2,410.38,5.52,3.37,12,462,20210524,20220630
9664809,1918.4,1155.7,486.48,5.33,3.36,12,464,20210524,20220630
9667942,547.1,602.3,265.78,5.96,5.03,12,484,20211106,20220630
9669380,530.83,581.0,261.76,6.16,3.83,12,485,20210430,20220630
9669407,1345.14,1383.2,250.04,17.28,4.94,12,486,20210429,20220630
9671058,2232.1,3266.8,195.44,8.12,5.21,12,504,20210505,20220630
9671060,1853.3,2839.7,186.63,10.65,5.25,12,505,20210405,20220630
9671072,1515.66,1985.9,202.11,8.46,5.26,12,506,20210705,20220630
9671084,2394.8,3334.9,203.35,8.51,5.23,12,507,20210804,20220630
9671096,1188.5,1607.9,198.62,8.14,5.22,12,508,20210317,20220630
9671101,1906.51,2731.4,199.02,8.19,5.2,12,509,20210514,20220630
9673513,854.95,741.0,293.05,12.31,3.81,12,511,20210429,20220630
9673525,1863.99,1391.0,303.49,7.31,3.81,12,512,20210429,20220630
9674517,18198.6,4395.15,829.14,12.35,11.2,12,520,20210528,20220630
9674543,10745.3,2355.0,890.02,14.66,10.96,12,521,20210516,20220630
9675391,4765.0,3995.7,269.38,32.92,8.27,12,525,20210629,20220630
9675406,6431.5,5189.2,275.55,34.48,8.32,12,526,20210628,20220630
9679892,1959.1,605.9,762.26,10.16,9.1,12,533,20210807,20220630
9681170,1116.33,1054.0,268.79,8.94,4.16,12,544,20210427,20220630
9682368,1478.5,863.85,419.64,17.77,4.04,12,557,20210624,20220630
9682978,2560.65,1399.1,505.25,15.3,2.69,12,561,20210428,20220630
9682980,1362.5,971.2,433.31,,2.73,12,562,20210427,20220630
9682992,1530.3,848.6,462.36,6.1,2.65,12,563,20210427,20220630
9683348,564.8,561.5,396.15,7.53,4.45,12,571,20210428,20220630
9683362,804.6,881.6,278.61,7.6,4.45,12,573,20210513,20220630
9683374,1675.2,1222.0,318.17,9.0,4.41,12,574,20210625,20220630
9683386,1888.26,1872.0,280.02,8.48,4.42,12,575,20210605,20220630
9683984,1356.34,1110.4,331.78,9.67,4.85,12,580,20211106,20220630
9686986,734.9,808.1,239.36,6.45,4.15,12,601,20210531,20220630
9687227,3109.5,3098.56,274.24,7.36,3.71,12,603,20210806,20220630
9687239,3426.65,3345.31,267.1,8.22,3.7,12,604,20210806,20220630
9687710,2590.86,2030.23,328.04,5.98,3.5,12,609,20210209,20220630
9687942,1146.48,1050.8,302.33,7.84,4.92,12,610,20211106,20220630
9688348,414.02,474.0,239.34,8.23,4.47,12,611,20210527,20220630
9690614,2027.84,1707.0,303.47,7.84,4.35,12,632,20210428,20220630
9690626,1810.4,1693.0,277.01,10.47,4.32,12,633,20210423,20220630
9691034,399.9,473.2,224.56,9.76,4.45,12,639,20210903,20220630
9691814,2782.5,2594.4,286.07,6.46,3.93,12,647,20211104,20220630
9691931,1331.4,803.7,528.79,4.59,3.74,12,648,20210430,20220630
9692387,1253.2,1314.2,204.24,6.62,4.34,12,658,20210427,20220630
9692478,399.2,304.4,316.66,14.16,3.5,12,659,20210906,20220630
9692777,800.43,1070.6,209.44,7.98,5.91,12,661,20210516,20220630
9692832,571.3,365.1,382.1,4.57,2.88,12,664,20210906,20220630
9692844,313.41,196.1,492.58,6.21,2.88,12,665,20211006,20220630
9692856,1586.38,778.3,476.95,8.34,2.96,12,666,20210906,20220630
9695028,6590.2,1893.7,738.44,8.88,8.64,12,698,20210505,20220630
9695834,989.43,983.76,288.55,11.04,4.92,12,702,20211106,20220630
9696448,792.05,947.25,301.96,7.61,3.91,12,705,20210604,20220630
9696450,2053.77,1977.51,314.98,9.08,3.89,12,706,20210604,20220630
9696462,330.65,317.22,289.22,6.79,3.9,12,707,20210604,20220630
9696474,812.04,768.05,302.61,9.25,3.99,12,708,20210604,20220630
9697430,1328.11,1653.2,265.1,9.84,4.43,12,727,20210414,20220630
9697442,1003.5,1255.3,283.78,10.18,4.38,12,728,20210414,20220630
9697806,2607.7,4160.3,199.1,12.85,5.21,12,733,20210323,20220630
9697818,1656.3,2300.1,200.2,9.82,5.24,12,734,20210317,20220630
9697820,1898.7,2557.9,206.49,9.69,5.23,12,735,20210903,20220630
9697832,1217.8,1647.8,196.38,6.83,5.23,12,736,20210903,20220630
9697844,1577.8,2073.8,200.66,11.09,5.26,12,737,20210428,20220630
9697856,2805.8,4086.1,190.18,10.43,5.24,12,738,20210317,20220630
9698434,1591.84,1933.3,230.34,10.86,4.92,12,744,20210528,20220630
9699189,2254.29,863.62,676.49,22.15,8.69,12,752,20210427,20220630
9699191,958.6,427.35,565.46,15.56,8.71,12,753,20210416,20220630
9699206,6708.05,2026.87,674.59,17.48,9.01,12,754,20210426,20220630
9699634,1302.4,749.6,486.87,3.88,2.24,12,760,20210430,20220630
9699842,3239.37,4069.12,235.2,9.36,4.25,12,762,20210429,20220630
9699854,1297.87,1503.98,246.03,9.38,4.3,12,763,20210429,20220630
9699995,624.4,362.9,375.15,799.9,5.96,12,766,20210514,20220630
9700421,338.3,294.6,315.9,11.2,3.94,12,779,20211204,20220630
9702041,2787.47,1669.17,397.96,17.96,5.72,12,793,20210428,20220630
9702132,12048.6,2628.75,990.08,5.84,8.65,12,799,20210528,20220630
9702144,14040.7,2666.87,1019.82,5.8,8.74,12,800,20210528,20220630
9702156,19759.0,4070.43,980.45,5.89,8.77,12,801,20210528,20220630
9702508,1116.23,1144.45,277.73,7.1,3.85,12,814,20210417,20220630
9702601,3336.8,3801.6,193.92,4.41,3.57,12,816,20210430,20220630
9703320,6660.9,4876.3,451.97,7.81,3.13,12,820,20210518,20220630
9703332,5546.9,4870.62,500.36,8.87,3.13,12,821,20210518,20220630
9703643,1165.75,1224.5,247.05,5.0,4.05,12,825,20210604,20220630
9703655,1346.13,1211.48,290.48,5.68,5.02,12,826,20211204,20220630
9705067,1059.0,306.9,772.33,10.18,11.07,12,848,20210516,20220630
9705079,1036.4,315.82,903.72,11.77,11.01,12,849,20210516,20220630
9705081,3307.6,1116.68,799.15,9.71,10.84,12,850,20210516,20220630
9705914,2514.1,2439.1,278.55,10.46,5.16,12,864,20210321,20220630
9706499,1140.0,859.47,355.81,20.38,5.87,12,873,20210426,20220630
9706889,20731.1,3953.4,1077.02,6.31,8.78,12,883,20210528,20220630
9706891,16822.9,3094.03,1076.24,6.64,8.62,12,884,20210528,20220630
9706906,18027.8,3113.13,1104.48,6.31,8.74,12,885,20210528,20220630
9707388,1435.22,1757.5,259.06,18.61,5.1,12,893,20211105,20220630
9708617,748.1,711.05,279.53,7.97,4.15,12,926,20210419,20220630
9708629,1689.57,1553.0,304.33,14.53,4.1,12,927,20210419,20220630
9709192,11802.7,5216.45,438.89,30.01,18.38,12,950,20210516,20220630
9709207,11391.0,5425.38,438.76,29.49,18.52,12,951,20210516,20220630
9709219,11799.7,5326.17,443.66,28.63,18.35,12,952,20210516,20220630
9710543,2138.96,1672.88,337.93,5.32,3.54,12,968,20210417,20220630
9710555,1603.61,734.6,565.86,9.08,3.47,12,969,20210416,20220630
9711298,713.05,564.3,317.48,7.45,3.9,12,973,20210705,20220630
9711420,944.78,689.0,353.11,7.52,3.86,12,976,20210604,20220630
9711432,2202.8,2030.9,299.88,5.87,3.86,12,977,20210604,20220630
9711456,2745.62,1852.1,375.9,7.45,2.86,12,978,20210605,20220630
9711834,850.5,765.9,282.59,17.24,7.94,12,992,20210903,20220630
9711846,2096.7,1810.17,300.47,37.17,7.4,12,993,20210316,20220630
9713040,1468.32,893.5,431.48,4.89,2.16,12,1015,20210427,20220630
9714068,1291.85,1371.0,246.63,13.94,5.16,12,1023,20210422,20220630
9716016,2590.85,3715.3,198.36,14.26,7.09,12,1048,20211105,20220630
9717515,2240.18,2907.5,208.92,12.41,5.67,12,1062,20210521,20220630
9717668,1594.2,1787.8,260.99,9.45,4.78,12,1063,20210427,20220630
9718064,886.87,1240.55,207.93,21.71,4.13,12,1066,20210427,20220630
9718076,2584.7,2455.1,277.07,7.51,4.14,12,1067,20210419,20220630
9718088,1733.5,2066.67,225.37,6.93,4.17,12,1068,20210419,20220630
9718363,1235.21,794.51,426.34,3.19,2.1,12,1071,20210604,20220630
9718741,468.3,531.9,222.0,6.01,4.33,12,1077,20210428,20220630
