ship_key,ship_name,ship_type,call_sign,speed,year_built,length,width,tonnage,engine_type,mmsi
44,MAERSK NEWBURY,Container ship,EAY2,24,1998,162.0,46.0,110258.0,lng,332991910
45,LIVERPOOL EXPRESS,Container ship,L921,21,2016,151.0,48.0,92374.0,electric,546954737
46,DUBLIN EXPRESS,Container ship,AP7B,26,2012,291.0,34.0,138972.0,electric,322810262
47,GLASGOW EXPRESS,Container ship,0C0H,22,2007,219.0,43.0,187539.0,electric,297691815
48,MILAN TRADER,Container ship,J1MK,24,2012,298.0,47.0,213622.0,gasoline,587254269
49,MOHAC,Bulk carrier,5J6I,20,2019,353.0,39.0,373665.0,diesel,439217976
50,CAPE BRADLEY,Chemical tanker,0P6F,20,2012,98.0,19.0,31552.0,diesel/electric,220553989
51,CAPE BACTON,Chemical tanker,RIDE,19,2019,109.0,19.0,31695.0,gasoline,545433522
52,IBLEA,Oil tanker,UOP2,24,2011,211.0,33.0,97071.0,lng,460964710
53,MONTE CERVANTES,Container ship,QFF4,24,2015,327.0,36.0,234146.0,diesel,355302156
54,MONTE OLIVIA,Container ship,H6FF,19,2005,163.0,33.0,199026.0,lng,443562031
55,MONTE SARMIENTO,Container ship,X9IU,20,2009,175.0,32.0,123110.0,lng,414207238
56,VERONICA PG,Chemical tanker,GDEN,26,2013,109.0,15.0,24762.0,lng,395400337
57,MP THE EDELMAN,Container ship,ZRH6,19,2018,328.0,47.0,113706.0,gasoline,514296181
58,SAFMARINE CAMEROUN,Container ship,KOTH,24,2002,163.0,49.0,97824.0,gasoline,221838052
59,MAERSK YORKTOWN,Container ship,OD68,22,2008,250.0,42.0,135878.0,lng,283234091
60,MAERSK SANA,Container ship,FK1N,19,2012,159.0,48.0,182529.0,diesel/electric,707477267
61,MP THE BRADY,Container ship,6LD3,23,1997,297.0,42.0,189604.0,lng,276075314
62,SEAMAX NORWALK,Container ship,UR6A,22,1997,307.0,35.0,126467.0,gasoline,346187804
63,NORDIC LUNA,Oil tanker,7F5S,20,2011,226.0,30.0,83704.0,electric,767353382
64,ALIANCA LEBLON,Container ship,Y76P,23,2003,269.0,40.0,160605.0,diesel,461784452
65,CENTURY,Oil tanker,NA9B,19,2010,219.0,37.0,119267.0,diesel,362777900
66,RIDGEBURY PALLAS,Oil tanker,S51W,20,2015,204.0,35.0,67445.0,gasoline,751981784
67,LARS MAERSK,Container ship,59S8,22,1999,339.0,46.0,163148.0,diesel,225209250
68,SAFMARINE NOMAZWE,Container ship,QIGY,23,2016,220.0,32.0,236006.0,diesel,243085851
69,SAFMARINE NOKWANDA,Container ship,16MX,20,2014,276.0,36.0,96869.0,gasoline,602522801
70,CHICAGO EXPRESS,Container ship,VPA0,25,2015,151.0,40.0,268203.0,lng,411000341
71,ROLLS I,Chemical tanker,TPKT,20,2011,95.0,18.0,17590.0,diesel,231617138
72,CHARANA NAREE,Bulk carrier,PMS4,20,2014,363.0,47.0,202535.0,diesel/electric,679771492
73,MAERSK IOWA,Container ship,K35A,25,1998,312.0,42.0,173695.0,gasoline,673770328
74,MAERSK OHIO,Container ship,B5BG,22,2019,211.0,48.0,273970.0,diesel/electric,465246723
75,MAERSK DOUALA,Container ship,WM60,21,2010,363.0,49.0,159730.0,electric,743211212
76,CMA CGM OTELLO,Container ship,4QNN,20,2019,256.0,40.0,138545.0,diesel,591862288
77,MAERSK DAKAR,Container ship,4HA6,26,2007,232.0,50.0,134382.0,electric,600357956
78,GRETE MAERSK,Container ship,A6F2,25,1997,236.0,39.0,130345.0,diesel,355607863
79,GOOD HOPE MAX,Bulk carrier,RR6Q,21,2019,345.0,35.0,384787.0,diesel/electric,384881425
80,OPTIMAX I,General cargo ship,3EFR,19,1996,361.0,37.0,254901.0,gasoline,538786936
81,MAERSK UTAH,Container ship,1CBM,24,1997,320.0,37.0,187268.0,diesel,477228234
82,MAERSK MONTANA,Container ship,WEFJ,23,2017,176.0,48.0,152683.0,diesel,717246417
83,BALTIC GLORY,Oil tanker,3W93,22,2014,202.0,35.0,58201.0,gasoline,251043506
84,AZUL LIBERO,Bulk carrier,QYYA,25,2018,364.0,39.0,250917.0,lng,588958766
85,NYK VESTA,Container ship,RQH1,19,2008,163.0,36.0,270220.0,diesel/electric,612247329
86,NIGHTCRAWLER,Oil tanker,F87A,23,2004,206.0,31.0,102721.0,lng,483382835
87,SEAGO ANTWERP,Container ship,TAVG,24,2004,344.0,47.0,253752.0,lng,281723740
88,SEAGO FELIXSTOWE,Container ship,17XJ,24,2004,212.0,40.0,249325.0,gasoline,215278926
89,SEAGO ISTANBUL,Container ship,MSY8,23,2000,174.0,41.0,270878.0,lng,235995848
90,SEAGO PIRAEUS,Container ship,5ZNE,25,1998,292.0,35.0,205957.0,gasoline,650852853
91,SEAGO BREMERHAVEN,Container ship,CSM2,19,2003,273.0,50.0,131799.0,gasoline,648709519
92,SAFMARINE MAFADI,Container ship,28DS,19,2002,243.0,35.0,120476.0,lng,316566475
93,SAN CARLOS,Oil tanker,0FO7,21,2004,201.0,30.0,119344.0,gasoline,567931515
94,SAN SEBASTIAN,Oil tanker,C25R,25,2018,217.0,37.0,90732.0,diesel,241404015
95,SAN FELIX,Oil tanker,38V5,22,2012,218.0,33.0,108964.0,gasoline,227332007
96,MAERSK SELETAR,Container ship,P66H,24,1998,188.0,47.0,276545.0,gasoline,366250431
97,MAERSK SENTOSA,Container ship,KI8N,25,2002,311.0,43.0,198437.0,lng,396966339
98,MAERSK SENANG,Container ship,U3R7,20,2013,336.0,41.0,177385.0,lng,679764893
99,AT HONOR,Oil tanker,ZJXI,21,2011,215.0,31.0,64179.0,diesel,553059265
100,OPTIMAX II,General cargo ship,6F82,22,1996,326.0,38.0,147913.0,diesel,520370851
101,GERD MAERSK,Container ship,3BQ3,23,2013,294.0,45.0,89292.0,gasoline,271980272
102,BRO NIBE,Oil tanker,JTVK,18,2007,221.0,36.0,107366.0,diesel,585138143
103,HANSA LIMBURG,Container ship,MHEZ,20,2014,233.0,37.0,230498.0,lng,420259821
104,MAERSK CHICAGO,Container ship,U066,19,2005,304.0,48.0,202361.0,diesel,571967631
105,MAERSK COLUMBUS,Container ship,K3FU,19,2017,218.0,49.0,93162.0,diesel,509281872
106,MAERSK DENVER,Container ship,1KC7,25,2004,227.0,38.0,138600.0,lng,660815553
107,MAERSK HARTFORD,Container ship,CM1N,26,2007,185.0,38.0,134744.0,electric,662333275
108,MAERSK KENSINGTON,Container ship,K1TD,23,2005,260.0,41.0,234208.0,diesel/electric,560801021
109,MAERSK KINLOSS,Container ship,7827,18,2007,197.0,33.0,138947.0,gasoline,430390734
110,MAERKS DETROIT,Container ship,RCZO,25,2008,185.0,33.0,231823.0,electric,562592177
111,MAERSK PITTSBURGH,Container ship,NL1P,26,2010,320.0,35.0,89965.0,diesel,483961615
112,MAERSK ANTARES,Container ship,AT3P,23,2017,200.0,33.0,206572.0,electric,264468841
113,BREMEN EXPRESS,Container ship,EVBC,22,2000,285.0,49.0,204914.0,lng,262593364
114,BRO ANNA,Oil tanker,AS63,20,2011,222.0,37.0,128663.0,lng,350376181
115,CHAMPION PLEASURE,Oil tanker,7K9I,21,2016,208.0,31.0,113606.0,gasoline,243621827
116,MONTE AZUL,Container ship,N5IF,21,2010,225.0,35.0,171765.0,diesel/electric,429056837
117,MONTE ALEGRE,Container ship,IRQ8,18,2012,160.0,35.0,196668.0,electric,447723391
118,MONTE ACONCAGUA,Container ship,LADU,21,1999,146.0,49.0,264076.0,diesel,714603835
119,MAERSK ATLANTA,Container ship,XJ0K,25,2007,353.0,39.0,149787.0,diesel,741255754
120,MAERSK BATAM,Container ship,990F,25,2009,155.0,38.0,139405.0,lng,314300062
121,MAERSK BULAN,Container ship,7RK2,23,2010,311.0,32.0,166114.0,diesel,588551299
122,SAFMARINE NILE,Container ship,ROXY,23,2005,151.0,37.0,96237.0,diesel,517519341
123,SAFMARINE NAKURU,Container ship,AANS,21,2015,200.0,50.0,253080.0,gasoline,627228837
124,SAFMARINE NUBA,Container ship,BOBU,21,2004,233.0,41.0,182967.0,gasoline,577347290
125,MAERSK NEWPORT,Container ship,Q2WC,25,2002,209.0,42.0,204469.0,gasoline,695424521
126,MAERSK NORFOLK,Container ship,M3KA,26,2007,294.0,35.0,224973.0,gasoline,686132700
127,MAERSK NAIROBI,Container ship,VZJP,24,2017,298.0,37.0,147983.0,diesel/electric,799282516
128,HANSA CLOPPENBURG,Container ship,WZOU,25,2002,212.0,44.0,88000.0,gasoline,293864575
129,GUNHILDE MAERSK,Container ship,9PJ3,18,2005,229.0,48.0,247350.0,electric,733805873
130,GERDA MAERSK,Container ship,U3J4,19,2000,318.0,40.0,223116.0,lng,412715730
131,MARIO C,General cargo ship,QWCO,25,2017,337.0,42.0,131058.0,gasoline,479681045
132,ARDMORE SEALANCER,Oil tanker,37P5,23,2014,229.0,31.0,108876.0,lng,452579734
133,ALPINE MATHILDE,Chemical tanker,CB16,24,2003,90.0,16.0,10655.0,diesel,385751282
134,RONALD N,Gas carrier,I0XY,25,1997,193.0,32.0,62769.0,lng,477102360
135,ADRIATIC WAVE,Chemical tanker,H4E2,20,2013,127.0,15.0,24037.0,electric,550317141
136,CAPE GUINEA,Chemical tanker,WKFK,23,2007,94.0,16.0,15039.0,lng,483546096
137,MIEDWIE,Bulk carrier,TKB5,18,2013,338.0,41.0,297063.0,diesel,216545740
138,DRAWSKO,Bulk carrier,EHJO,26,2013,325.0,38.0,337662.0,gasoline,698517208
139,RESKO,Bulk carrier,5TJB,25,2010,342.0,41.0,342044.0,electric,383378064
140,WICKO,Bulk carrier,OO6M,22,2017,344.0,48.0,344509.0,lng,675463192
141,MAERSK BALI,Container ship,NJJ4,18,2000,194.0,48.0,137903.0,lng,687731859
142,MAERSK BOGOR,Container ship,YS7Y,23,2008,298.0,42.0,229670.0,lng,656534637
143,MAERSK BRATAN,Container ship,R59T,21,2003,354.0,33.0,268007.0,diesel,255437924
144,EVIE PG,Oil tanker,YGPG,26,2006,208.0,30.0,111680.0,lng,497516138
145,CMA CGM LEO,Container ship,YN6G,25,2013,235.0,49.0,217604.0,lng,499683028
146,ROBIN 4,Container ship,IYAB,22,2004,224.0,42.0,255092.0,diesel,228663201
147,CAPE TAFT,Oil tanker,SE6H,21,2005,238.0,32.0,106566.0,diesel/electric,472781096
148,MAERSK BATUR,Container ship,AP19,20,2007,169.0,35.0,229654.0,electric,703211966
149,ANAVATOS II,Oil tanker,9KDR,24,2006,208.0,34.0,70740.0,diesel,280820161
150,FULMAR,Oil tanker,B3RY,23,2018,230.0,35.0,96562.0,gasoline,535037144
151,LEON OETKER,Bulk carrier,TALA,23,2016,334.0,38.0,399480.0,gasoline,636999859
152,ROLLDOCK SKY,Combination carrier,PB73,20,2013,301.0,37.0,249520.0,diesel,207687075
153,CAPE TAURA,Oil tanker,41LG,21,2011,210.0,37.0,124369.0,diesel,268835686
154,MAERSK BRANI,Container ship,VQ3W,24,2018,212.0,39.0,224830.0,lng,391021087
155,CMA CGM AQUILA,Container ship,A8DM,24,2016,166.0,48.0,232542.0,diesel,697799878
156,CMA CGM CALLISTO,Container ship,4RU7,18,1998,160.0,37.0,218846.0,diesel,257733645
157,CMA CGM LYRA,Container ship,VXU3,19,1997,267.0,32.0,164612.0,gasoline,266584886
158,TRUDY,Bulk carrier,DTOB,20,2012,362.0,45.0,260962.0,diesel/electric,757012243
159,GEORGINA PG,Oil tanker,EQTF,25,2007,225.0,32.0,58225.0,electric,602601085
160,ALATAU,Oil tanker,Z7PE,19,2004,225.0,34.0,71311.0,gasoline,395909475
161,NYK RUMINA,Container ship,ALZ0,20,2019,354.0,48.0,124657.0,gasoline,279934861
162,GENCO MAXIMUS,Bulk carrier,S93E,20,2006,352.0,32.0,250569.0,diesel,675528317
163,JUNO,Bulk carrier,5Q1M,23,2007,328.0,49.0,245310.0,diesel,204022484
164,NORDIC AGNETHA,Chemical tanker,K6OF,18,2006,107.0,20.0,5140.0,gasoline,559056757
165,NORDIC AMY,Chemical tanker,NYSC,19,2016,91.0,15.0,10732.0,diesel/electric,349528902
166,SANTA ROSA,Container ship,2CPU,20,2013,297.0,44.0,118746.0,diesel/electric,583918892
167,SANTA URSULA,Container ship,PKNS,22,1999,356.0,44.0,144090.0,diesel,295772337
168,SANTA BARBARA,Container ship,ZKOA,21,2011,165.0,50.0,109653.0,lng,420760279
169,ORUBA,General cargo ship,GA1S,20,1996,300.0,36.0,131937.0,lng,642503485
170,AMSTEL LION,Bulk carrier,EW98,20,2009,343.0,35.0,368554.0,diesel,351019840
171,AMSTEL TIGER,Bulk carrier,9CDS,21,2012,344.0,49.0,272169.0,diesel/electric,228944592
172,ARROW STAR 1,Oil tanker,5JD8,23,2017,205.0,33.0,127413.0,diesel,533321649
173,CARTAGENA TRADER,Container ship,HWYW,19,1997,238.0,37.0,83689.0,lng,606374549
174,GURONI,Chemical tanker,K9FC,18,2016,97.0,15.0,19148.0,lng,687028694
175,PORTHOS,General cargo ship,G4J3,20,2010,337.0,41.0,149657.0,gasoline,298783270
176,CAPE TEES,Oil tanker,Q9A7,21,2009,234.0,32.0,117625.0,diesel,794727155
177,MINDORO STAR,Chemical tanker,CEXY,26,2017,111.0,20.0,5840.0,gasoline,798145301
178,LUBIE,Bulk carrier,7XRG,26,2007,326.0,38.0,268736.0,electric,245413232
179,SIYA,General cargo ship,FRI5,21,2006,299.0,40.0,177877.0,diesel,794639169
180,AAMIRA,LNG carrier,M7MA,22,2002,284.0,41.0,22678.0,gasoline,639202627
181,SANTA CLARA,Container ship,JVH6,19,2019,241.0,44.0,103686.0,electric,339591272
182,SANTA ISABEL,Container ship,YCSB,19,2000,222.0,48.0,160175.0,gasoline,461108645
183,SANTA CRUZ,Container ship,SR26,23,2002,298.0,48.0,121079.0,lng,747618349
184,FPMC B LUCK,Bulk carrier,EC1T,26,2008,357.0,47.0,351617.0,lng,266741276
185,CAPE MOSS,Container ship,0P88,23,2010,168.0,37.0,231033.0,gasoline,314862486
186,ALTAI,Oil tanker,Q3JM,22,2008,218.0,34.0,86667.0,lng,700235949
187,BIRTE OLDENDORFF,Bulk carrier,TSZW,26,2004,345.0,39.0,391423.0,gasoline,519493095
188,CMA CGM CENDRILLON,Container ship,4JQZ,19,2003,308.0,34.0,132941.0,lng,728621895
189,VIENNA EXPRESS,Container ship,MS23,26,2007,273.0,43.0,249862.0,gasoline,273305901
190,CMA CGM FIGARO,Container ship,FWU2,18,2007,170.0,40.0,183281.0,lng,610382386
191,CMA CGM DALILA,Container ship,HYPE,24,2017,248.0,42.0,257830.0,gasoline,745140989
192,CMA CGM TITUS,Container ship,VYD7,19,2007,184.0,44.0,265543.0,diesel/electric,577598648
193,ALI KA,Chemical tanker,39GE,25,2015,94.0,18.0,10479.0,diesel,560957604
194,SIFTERI,General cargo ship,5H61,20,2014,304.0,39.0,159581.0,gasoline,315568151
195,GIEWONT,Bulk carrier,OI93,22,2004,353.0,34.0,317488.0,gasoline,748764655
196,JAWOR,Bulk carrier,JKNQ,25,2009,334.0,33.0,290968.0,gasoline,455710441
197,ORNAK,Bulk carrier,GUOF,20,2015,350.0,47.0,342738.0,electric,311681866
198,RYSY,Bulk carrier,RYQR,26,2014,356.0,37.0,276064.0,electric,250508845
199,CMA CGM CHRISTOPHE COLOMB,Container ship,CHZ2,21,2014,191.0,47.0,212143.0,electric,375936917
200,MARCILIO DIAS,Oil tanker,KD3R,18,2015,231.0,31.0,105935.0,diesel,501082637
201,JOSE DO PATROCINIO,Oil tanker,KSWA,26,2011,236.0,34.0,67273.0,electric,435517247
202,MACHADO DE ASSIS,Oil tanker,44NQ,24,2013,240.0,37.0,121904.0,diesel/electric,362305370
203,MILTON SANTOS,Oil tanker,2CVW,23,2019,203.0,35.0,80870.0,electric,271017109
204,CMA CGM AMERIGO VESPUCCI,Container ship,XHID,23,2010,337.0,42.0,159572.0,diesel,603389790
205,JY PROGRESS,Bulk carrier,8NVI,23,2016,350.0,35.0,224594.0,diesel/electric,385664181
206,MAERSK EDINBURGH,Container ship,NQ76,19,2003,215.0,40.0,151534.0,gasoline,788060728
207,MAERSK EMDEN,Container ship,L35F,21,2012,165.0,39.0,142718.0,lng,237345760
208,MAERSK EINDHOVEN,Container ship,S8O0,19,2005,254.0,35.0,243684.0,gasoline,473087734
209,MAERSK ESSEN,Container ship,P69L,24,2010,279.0,36.0,271641.0,electric,440123405
210,BAO GLORY,Bulk carrier,R7V3,19,2017,348.0,32.0,366535.0,diesel,349950792
211,MAERSK EDMONTON,Container ship,1F60,25,1998,251.0,48.0,167074.0,gasoline,687670844
212,MAERSK ELBA,Container ship,QCT9,25,2012,184.0,44.0,264843.0,lng,421150256
213,MAERSK ESSEX,Container ship,7XJI,22,1997,230.0,32.0,99001.0,diesel,519024051
214,PETROLINA OCEAN,Chemical tanker,BT53,18,2011,97.0,16.0,8714.0,diesel/electric,368839565
215,HAMBURG EXPRESS,Container ship,JYY4,22,2005,234.0,45.0,159765.0,diesel/electric,648439252
216,CYPRESS,Container ship,NCE3,20,2006,262.0,41.0,159498.0,lng,774317011
217,HAFNIA PHOENIX,Chemical tanker,ST7I,23,2016,92.0,18.0,31166.0,gasoline,642101792
218,MED EMRE,Chemical tanker,6VR2,18,2010,108.0,19.0,33897.0,diesel,667075195
219,MED SERHAT,Chemical tanker,L0W6,18,2014,123.0,18.0,6539.0,diesel,700879505
220,APL SALALAH,Container ship,HI91,23,2014,189.0,39.0,263880.0,lng,287123700
221,CHINTANA NAREE,Bulk carrier,7SOL,26,2007,352.0,40.0,320504.0,lng,637523929
222,BBC ILLINOIS,Bulk carrier,W88J,25,2013,357.0,40.0,315426.0,gasoline,797868391
223,GOLDEN OPAL,Bulk carrier,Q182,20,2005,362.0,48.0,300626.0,lng,537366126
224,POLA DEVORA,Bulk carrier,E7B7,22,2008,356.0,32.0,281166.0,diesel,318915208
225,POLA ELISAVETA,Bulk carrier,79KZ,19,2016,361.0,47.0,375058.0,gasoline,543443049
226,FLAMURI,General cargo ship,B6CZ,18,2016,309.0,43.0,266117.0,electric,706152237
227,BULKTEC,Bulk carrier,5L60,19,2008,327.0,46.0,229697.0,lng,720076294
228,FLAG ZANNIS,Bulk carrier,Q0P9,26,2018,346.0,49.0,253354.0,diesel,502526282
229,EIBHLIN,Bulk carrier,UV5G,19,2017,365.0,34.0,379848.0,lng,654743325
230,PRIDE,Bulk carrier,8YLT,18,2014,355.0,44.0,306513.0,gasoline,210480719
231,FADELSIA,Bulk carrier,J9RN,21,2013,330.0,43.0,390952.0,electric,664938843
232,BRIGHT STAR,Bulk carrier,UOIS,24,2016,337.0,37.0,307312.0,diesel/electric,457267272
233,BIRGIT KNUTSEN,Chemical tanker,NMZJ,22,2016,91.0,18.0,31115.0,lng,264689485
234,CAP JACKSON,Container ship,7MIM,18,2008,349.0,44.0,211164.0,lng,473000340
235,CAP JERVIS,Container ship,Z7ND,26,2002,287.0,46.0,238142.0,gasoline,228148154
236,INTERLINK ACUITY,Bulk carrier,2BG3,19,2009,336.0,42.0,204566.0,gasoline,455275011
237,ADIRONDACK,Bulk carrier,88I4,18,2008,327.0,35.0,362276.0,lng,587065951
238,RANGER,Bulk carrier,07NV,23,2019,364.0,38.0,331058.0,diesel/electric,636806266
239,VELSHEDA,Bulk carrier,3ENR,20,2006,364.0,44.0,297312.0,lng,239420036
240,SOLINA,Bulk carrier,G6KP,18,2008,338.0,40.0,264215.0,gasoline,312034527
241,MAMRY,Bulk carrier,EBUE,21,2006,364.0,47.0,388324.0,electric,506949362
242,AAL BRISBANE,General cargo ship,AM9Z,18,2015,340.0,43.0,268640.0,diesel,216457417
243,AAL KEMBLA,General cargo ship,LZZ8,20,1996,326.0,40.0,250029.0,diesel,727243081
244,AAL SINGAPORE,General cargo ship,F1G6,18,2012,352.0,32.0,123340.0,gasoline,667688159
245,AAL SHANGHAI,General cargo ship,JAO7,26,2004,352.0,41.0,131446.0,diesel,734578244
246,AAL MELBOURNE,General cargo ship,H4E4,20,2003,353.0,47.0,119475.0,lng,507385486
247,AAL DALIAN,General cargo ship,M374,18,2016,330.0,49.0,238111.0,diesel/electric,490483717
248,NEW YORK EXPRESS,Container ship,T38A,22,2009,351.0,40.0,125829.0,lng,399429903
249,BASLE EXPRESS,Container ship,WMWB,24,2009,247.0,45.0,87648.0,gasoline,431263055
250,HONG KONG EXPRESS,Container ship,SAUN,19,2009,186.0,41.0,249537.0,electric,388186770
251,SHANGHAI EXPRESS,Container ship,WI8Y,25,2001,282.0,32.0,135437.0,lng,624392086
252,ESSEN EXPRESS,Container ship,7LLI,19,2008,261.0,47.0,83845.0,diesel,441456562
253,SAGA FLORA,General cargo ship,MPAW,26,2004,364.0,45.0,209042.0,gasoline,344251402
254,ELANDRA OAK,Chemical tanker,82EF,21,2015,127.0,16.0,12416.0,diesel,567814606
255,NAREW,Bulk carrier,K712,24,2015,321.0,39.0,375761.0,lng,630694203
256,RABA,Bulk carrier,YTNF,20,2009,346.0,32.0,339123.0,electric,395921481
257,PROSNA,Bulk carrier,YRMX,24,2019,342.0,35.0,263087.0,lng,583695947
258,SKAWA,Bulk carrier,EF3B,21,2012,357.0,36.0,270584.0,diesel,433071967
259,INA,Bulk carrier,IFOT,25,2015,364.0,45.0,350875.0,diesel/electric,668941021
260,ILENAO,Bulk carrier,T764,25,2005,352.0,38.0,296435.0,diesel,379655121
261,MAERSK CALABAR,Container ship,LN0F,24,2010,174.0,44.0,166878.0,diesel/electric,545030641
262,MAERSK CAPE COAST,Container ship,GN3V,19,2009,198.0,43.0,214755.0,diesel/electric,203869316
263,MAERSK CHENNAI,Container ship,WWPK,21,2017,361.0,35.0,118435.0,lng,308459109
264,MAERSK CONGO,Container ship,DBW3,25,2009,301.0,41.0,140895.0,lng,323229637
265,MAERSK CAPE TOWN,Container ship,1MUD,25,1999,264.0,47.0,132612.0,lng,335342837
266,MAERSK COLOMBO,Container ship,HNP5,25,2010,230.0,32.0,265559.0,lng,763523353
267,MAERSK CABO VERDE,Container ship,SDJ5,26,2008,271.0,48.0,138276.0,diesel,749162579
268,MAERSK CASABLANCA,Container ship,9QV0,24,2002,316.0,34.0,133127.0,lng,521741651
269,MAERSK LUZ,Container ship,K35K,24,2005,211.0,33.0,275156.0,gasoline,227555593
270,MAERSK LOTA,Container ship,T3Y1,18,2001,203.0,43.0,191020.0,diesel,395249404
271,MAERSK LABERINTO,Container ship,IWGQ,20,1997,334.0,47.0,180678.0,lng,777901997
272,MAERSK LINS,Container ship,YARG,18,2000,293.0,38.0,135597.0,diesel,260098605
273,MAERSK LAMANAI,Container ship,55TK,25,2004,152.0,37.0,241562.0,gasoline,479835559
274,MAERSK LABREA,Container ship,P5G7,19,2004,206.0,36.0,146788.0,gasoline,387693989
275,DALMACIJA,Chemical tanker,RRSQ,24,2019,95.0,17.0,8873.0,diesel/electric,516739356
276,MINERAL CHARLIE,Bulk carrier,32YY,20,2016,364.0,36.0,377298.0,diesel/electric,794179220
277,UNIQUE INFINITY,Chemical tanker,ZUVA,22,2008,101.0,20.0,22994.0,lng,210853894
278,FAIRCHEM ALDEBARAN,Chemical tanker,54NX,26,2017,129.0,16.0,5623.0,lng,393021098
279,KN FUTURE,Bulk carrier,SCJR,21,2006,326.0,49.0,240918.0,diesel/electric,601694182
